group,v_1,v_v1_1,v_v2_1,v_v3_1,onlyuse,onlyocc
Residential/Rent,820444561264.0016,13258664819573.45,375047984867.2612,91249880428.69434,Residential,Rented
Residential/Self,8642441631905.808,140673826334685.81,5319196333715.992,1587777199833.3389,Residential,Self-occupied
